t,x,y,yaw,steer,l,r
53.87,1.294,-22.809,-0.0069,0,0,0
53.98,-1.001,-22.761,1.5639,0,0,0
54.09,-1.001,-22.761,1.5639,0,0,0
54.19,-1.001,-22.761,1.5639,0,0,0
54.29,1.294,-22.809,-0.0069,0,0,0
54.4,-1.001,-22.761,1.5639,0,0,0
54.5,-1.001,-22.761,1.5639,0,0,0
54.61,-1.001,-22.761,1.5639,0,0,0
54.71,-1.001,-22.761,1.5639,0,0,0
54.82,-1.001,-22.761,1.5639,0,0,0
54.93,-1.001,-22.761,1.5639,0,0,0
55.03,-1.001,-22.761,1.5639,0,0,0
55.13,-1.001,-22.761,1.5639,0,0,0
55.24,-1.001,-22.761,1.5639,0,0,0
55.34,-1.001,-22.761,1.5639,0,0,0
55.44,-1.001,-22.761,1.5639,0,0,0
55.55,-1.001,-22.761,1.5639,0,0,0
55.65,-1.001,-22.761,1.5639,0,0,0
55.75,-1.001,-22.761,1.5639,0,0,0
55.86,-1.001,-22.761,1.5639,0,0,0
55.96,-1.001,-22.761,1.5639,0,0,0
56.07,-1.001,-22.761,1.5639,0,0,0
56.18,1.294,-22.809,-0.0069,0,0,0
56.28,1.294,-22.809,-0.0069,0,0,0
56.38,-1.001,-22.761,1.5639,0,0,0
56.48,1.294,-22.809,-0.0069,0,0,0
56.59,1.294,-22.809,-0.0069,0,0,0
56.7,-1.001,-22.761,1.5639,0,0,0
56.8,-1.001,-22.761,1.5639,0,0,0
56.91,-1.001,-22.761,1.5639,0,0,0
57.01,-1.001,-22.761,1.5639,0,0,0
57.12,-1.001,-22.761,1.5639,0,0,0
57.22,-1.001,-22.761,1.5639,0,0,0
57.33,-1.001,-22.761,1.5639,0,0,0
57.43,-1.001,-22.761,1.5639,0,0,0
57.54,-1.001,-22.761,1.5639,0,0,0
